GROUP,RAT,AGE,BLOCK,DAY,TRIAL,TYPE,START,LAT,PATH,CMDS,MNDS,Q1TM,Q2TM,Q3TM,Q4TM,PLTCRS,SPEED,GROUP.RAT,,
RWM09,58,6,Block3,Day05,Trial3,Train,W,6.41,139.33,3288.48,50.59,,,,,,21.75,RWM09.58,,
RWM09,58,6,Block3,Day06,Trial1,Train,S,4.2,67.81,1359.97,31.63,,,,,,16.13,RWM09.58,,
RWM09,58,6,Block3,Day06,Trial2,Train,W,7.01,138.27,4251.32,59.88,,,,,,19.73,RWM09.58,,
RWM09,58,6,Block3,Day06,Trial3,Probe,E,29.93,718.84,16243.18,54.14,3.7,,15.22,,0,24.02,RWM09.58,,
RWM09,58,6,Block4,Day07,Trial1,Train,W,6.41,124.96,3520.86,54.17,,,,,,19.5,RWM09.58,,
RWM09,58,6,Block4,Day07,Trial2,Train,N,7.31,143.36,3927.64,53.08,,,,,,19.62,RWM09.58,,
RWM09,58,6,Block4,Day07,Trial3,Train,S,21.52,604.18,9551.02,44.22,,,,,,28.07,RWM09.58,,
RWM09,58,6,Block4,Day08,Trial1,Train,S,7.91,206.09,2638.12,32.98,,,,,,26.06,RWM09.58,,
RWM09,58,6,Block4,Day08,Trial2,Train,N,5.71,149.57,3685.24,63.54,,,,,,26.21,RWM09.58,,
RWM09,58,6,Block4,Day08,Trial3,Probe,W,29.93,742.89,14143.74,47.15,2.4,,15.52,,2,24.82,RWM09.58,,
RWM09,58,6,Block6,Day09,Trial1,Cue,W,14.61,313.96,7851.81,60.87,,,,,,24.89,RWM09.58,,
RWM09,58,6,Block6,Day09,Trial2,Cue,S,5.41,136.58,3595.37,66.58,,,,,,25.74,RWM09.58,,
RWM09,58,6,Block6,Day09,Trial3,Cue,E,2,61.27,404.9,20.24,,,,,,32.21,RWM09.58,,
RWM09,58,6,Block6,Day09,Trial4,Cue,N,14.01,361.78,7025.42,50.18,,,,,,26,RWM09.58,,
RWM09,58,6,Block6,Day09,Trial5,Cue,W,4.4,136.55,1916.82,43.56,,,,,,31.72,RWM09.58,,
RWM09,58,6,Block6,Day09,Trial6,Cue,S,5.81,609.02,3828.75,66.01,,,,,,106.74,RWM09.58,,
RWM09,59,6,Block1,Day01,Trial1,Train,S,90.09,1615.67,66859.15,74.21,,,,,,17.93,RWM09.59,,
RWM09,59,6,Block1,Day01,Trial2,Train,W,16.72,275.62,12045.54,71.7,,,,,,16.49,RWM09.59,,
RWM09,59,6,Block1,Day01,Trial3,Train,N,36.04,783.86,22028.5,61.02,,,,,,21.75,RWM09.59,,
RWM09,59,6,Block1,Day02,Trial1,Train,W,64.26,1374.92,42243.68,65.7,,,,,,21.39,RWM09.59,,
RWM09,59,6,Block1,Day02,Trial2,Train,S,29.13,399.69,8217.8,28.14,,,,,,13.72,RWM09.59,,
RWM09,59,6,Block1,Day02,Trial3,Probe,E,30.03,697.54,18731.13,62.23,7.41,,9.51,,1,23.23,RWM09.59,,
RWM09,59,6,Block2,Day03,Trial1,Train,E,10.71,262.17,6521.9,60.39,,,,,,24.48,RWM09.59,,
RWM09,59,6,Block2,Day03,Trial2,Train,W,6.41,136.46,3840.38,59.08,,,,,,21.3,RWM09.59,,
RWM09,59,6,Block2,Day03,Trial3,Train,S,10.61,191.42,4555.15,42.57,,,,,,18.04,RWM09.59,,
RWM09,59,6,Block2,Day04,Trial1,Train,N,27.03,663.46,17442.2,64.36,,,,,,24.55,RWM09.59,,
RWM09,59,6,Block2,Day04,Trial2,Train,E,21.42,341.53,10311.49,47.96,,,,,,15.94,RWM09.59,,
RWM09,59,6,Block2,Day04,Trial3,Probe,W,29.93,665.5,17964.19,59.88,9.61,,9.11,,1,22.24,RWM09.59,,
RWM09,59,6,Block3,Day05,Trial1,Train,E,4.4,80.23,1388.53,30.86,,,,,,18.22,RWM09.59,,
RWM09,59,6,Block3,Day05,Trial2,Train,S,5.81,108.87,1867.79,31.66,,,,,,18.75,RWM09.59,,
RWM09,59,6,Block3,Day05,Trial3,Train,N,6.31,124.87,3244.5,50.7,,,,,,19.8,RWM09.59,,
RWM09,59,6,Block3,Day06,Trial1,Train,W,6.41,128.31,3912.61,60.19,,,,,,20.03,RWM09.59,,
RWM09,59,6,Block3,Day06,Trial2,Train,N,6.41,131.16,4006.35,61.64,,,,,,20.47,RWM09.59,,
RWM09,59,6,Block3,Day06,Trial3,Probe,S,29.93,562.22,9163.16,30.54,0,,18.02,,3,18.78,RWM09.59,,
RWM09,59,6,Block4,Day07,Trial1,Train,S,8.31,163.47,2414.01,28.74,,,,,,19.67,RWM09.59,,
RWM09,59,6,Block4,Day07,Trial2,Train,N,7.81,140.66,3395.61,42.98,,,,,,18.02,RWM09.59,,
RWM09,59,6,Block4,Day07,Trial3,Train,W,8.81,164.63,4465.56,50.17,,,,,,18.69,RWM09.59,,
